"Reference";"Value";"Datasheet";"Footprint";"Qty";"DNP"
"D1";"DI0";"http://www.everlight.com/file/ProductFile/IR204-A.pdf";"LED_THT:LED_D3.0mm_IRBlack";"1";""
"D2";"DI1";"http://www.everlight.com/file/ProductFile/IR204-A.pdf";"LED_THT:LED_D3.0mm_IRBlack";"1";""
"D3";"DI2";"http://www.everlight.com/file/ProductFile/IR204-A.pdf";"LED_THT:LED_D3.0mm_IRBlack";"1";""
"D4,D5";"DI3";"http://www.everlight.com/file/ProductFile/IR204-A.pdf";"LED_THT:LED_D3.0mm_IRBlack";"2";""
"D6,D7";"Z5.1V";"~";"Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal";"2";""
"J2";"DI";"~";"Borneras:TerminalBlock_Altech_AK300-4_P5.00mm";"1";""
"J3";"AI";"~";"Borneras:TerminalBlock_Altech_AK300-4_P5.00mm";"1";""
"J10";"PWR_OUT";"~";"Borneras:TerminalBlock_Altech_AK300-2_P5.00mm";"1";""
"J11";"INPUTS";"~";"Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical";"1";""
"Q1,Q2,Q3,Q4";"BC548";"https://www.onsemi.com/pub/Collateral/BC550-D.pdf";"Package_TO_SOT_THT:TO-92L_Inline_Wide";"4";""
"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R14,R15,R16,R17";"2.2k";"~";"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";"16";""
"R13";"1k";"~";"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";"1";""
