"Reference";"Value";"Datasheet";"Footprint";"Qty";"DNP"
"D5,J14";"RLY0";"http://www.everlight.com/file/ProductFile/IR204-A.pdf,~";"Borneras:TerminalBlock_Altech_AK300-2_P5.00mm,LED_THT:LED_D3.0mm_IRBlack";"2";""
"D6,D8";"1N4148";"https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf";"Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal";"2";""
"D7,J7";"RLY1";"http://www.everlight.com/file/ProductFile/IR204-A.pdf,~";"Borneras:TerminalBlock_Altech_AK300-2_P5.00mm,LED_THT:LED_D3.0mm_IRBlack";"2";""
"D9";"DI3";"http://www.everlight.com/file/ProductFile/IR204-A.pdf";"LED_THT:LED_D3.0mm_IRBlack";"1";""
"D10";"DI2";"http://www.everlight.com/file/ProductFile/IR204-A.pdf";"LED_THT:LED_D3.0mm_IRBlack";"1";""
"D11";"DI1";"http://www.everlight.com/file/ProductFile/IR204-A.pdf";"LED_THT:LED_D3.0mm_IRBlack";"1";""
"D12";"DI0";"http://www.everlight.com/file/ProductFile/IR204-A.pdf";"LED_THT:LED_D3.0mm_IRBlack";"1";""
"J6";"SEL0";"~";"Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical";"1";""
"J8";"PWM";"~";"Borneras:TerminalBlock_Altech_AK300-4_P5.00mm";"1";""
"J9";"PWR_OUT";"~";"Borneras:TerminalBlock_Altech_AK300-2_P5.00mm";"1";""
"J12";"OUTPUTS";"~";"Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical";"1";""
"J13";"SEL1";"~";"Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical";"1";""
"K1,K2";"~";"";"Codigo_lib:Relay";"2";""
"Q1,Q2";"BC548";"https://www.onsemi.com/pub/Collateral/BC550-D.pdf";"Package_TO_SOT_THT:TO-92L_Inline_Wide";"2";""
"R13,R14,R15,R16,R17,R18,R19,R20";"330";"~";"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";"8";""
"U5";"L293D";"http://www.ti.com/lit/ds/symlink/l293.pdf";"Package_DIP:DIP-16_W7.62mm_LongPads";"1";""
